date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/17,DemocraticRepublicoftheCongo,4973,196,111,5
2020/06/17,Nigeria,17148,490,424,0
2020/06/17,Ghana,12193,229,58,4
2020/06/17,Algeria,11147,116,788,11
2020/06/17,Cameroon,9864,0,276,0
2020/06/17,Côted’Ivoire,5679,595,46,1
2020/06/17,Senegal,5247,157,70,10
2020/06/17,Guinea,4639,67,26,0
2020/06/17,Gabon,4114,81,29,2
2020/06/17,Kenya,3860,133,105,1
2020/06/17,Ethiopia,3630,109,61,1
2020/06/17,CentralAfricanRepublic,2410,188,14,7
2020/06/17,Mauritania,1887,104,91,4
2020/06/17,Mali,1885,25,106,2
2020/06/17,SouthSudan,1776,21,30,0
2020/06/17,Guinea-Bissau,1492,32,15,0
2020/06/17,Zambia,1405,23,11,0
2020/06/17,Madagascar,1317,27,12,2
2020/06/17,SierraLeone,1225,49,51,0
2020/06/17,EquatorialGuinea,1043,0,12,0
2020/06/17,Niger,1016,36,66,0
2020/06/17,BurkinaFaso,895,1,53,0
2020/06/17,Congo,883,0,27,0
2020/06/17,Chad,853,3,74,1
2020/06/17,Uganda,823,0,0,0
2020/06/17,CaboVerde,781,21,7,0
2020/06/17,Mozambique,638,29,4,1
2020/06/17,Rwanda,636,24,2,0
2020/06/17,Malawi,564,8,6,0
2020/06/17,Togo,537,6,13,0
2020/06/17,Benin,532,49,9,0
2020/06/17,Eswatini,520,14,4,0
2020/06/17,Liberia,509,11,33,0
2020/06/17,Zimbabwe,391,4,4,0
2020/06/17,Mauritius,337,0,10,0
2020/06/17,Comoros,197,21,3,1
2020/06/17,Angola,142,0,6,0
2020/06/17,Eritrea,121,12,0,0
2020/06/17,Burundi,104,0,1,0
2020/06/17,Botswana,60,0,1,0
2020/06/17,Gambia,34,6,1,0
2020/06/17,UnitedRepublicofTanzania,509,0,21,0
2020/06/17,SaoTomeandPrincipe,398,10,10,0
2020/06/17,Namibia,34,2,0,0
2020/06/17,Seychelles,11,0,0,0
2020/06/17,Lesotho,4,0,0,0
2020/06/17,Mayotte,2333,23,29,1
2020/06/17,Réunion,495,-1,1,0
2020/06/17,Brazil,888271,20647,43959,627
2020/06/17,Peru,232992,3256,6860,172
2020/06/17,Chile,184449,5013,3383,21
